"V1" "V2"
"1" -12369085 1971
"2" -11316397 604
"3" -4473925 541
"4" -3421237 299
"5" -3158065 218
"6" -2894893 128
"7" -2631721 71
"8" -2368549 26
"9" -2105377 9
"10" -1842205 8
"11" -1579033 1
"12" 0 26
"13" -1315861 2
"14" -3684409 498
"15" -3947581 509
"16" -4210753 621
"17" -10526881 66
"18" -10000537 17
"19" -10263709 32
"20" -9474193 3
"21" -9211021 1
"22" -9737365 4
"23" -8684677 2
"24" -8421505 3
"25" -8947849 2
"26" -7631989 1
"27" -7895161 2
"28" -8158333 4
"29" -7105645 4
"30" -7368817 2
"31" -6579301 8
"32" -6842473 2
"33" -6052957 40
"34" -6316129 16
"35" -5263441 234
"36" -5526613 140
"37" -5789785 70
"38" -4737097 484
"39" -5000269 327
"40" -11842741 1375
"41" -11579569 902
"42" -10790053 135
"43" -11053225 282
"44" -12632257 2073
"45" -12895429 1984
"46" -13158601 1521
"47" -13684945 709
"48" -13948117 372
"49" -14211289 200
"50" -14474461 106
"51" -14737633 26
"52" -15000805 14
"53" NA 8736
"54" -15263977 2
"55" -13421773 1162
"56" -12105913 1712
"57" 1 26
"58" 2 26
"59" 3 26
"60" 4 26
"61" 5 26
"62" 6 26
"63" 7 26
"64" 8 26
"65" 9 26
"66" 10 26
"67" 11 26
"68" 12 26
"69" 13 26
"70" 14 26
"71" 15 26
"72" 16 26
"73" 17 26
"74" 18 26
"75" 19 26
"76" 20 26
"77" 21 26
"78" 22 26
"79" 23 26
"80" 24 26
"81" 25 26
"82" 26 26
"83" 27 26
"84" 28 26
"85" 29 26
"86" 30 26
"87" 31 26
"88" 32 26
"89" 33 26
"90" 34 26
"91" 35 26
"92" 36 26
"93" 37 26
"94" 38 26
"95" 39 26
"96" 40 26
"97" 41 26
"98" 42 26
"99" 43 26
"100" 44 26
"101" 45 26
"102" 46 26
"103" 47 26
"104" 48 26
"105" 49 26
"106" 50 26
"107" 51 26
"108" 52 26
"109" 53 26
"110" 54 26
"111" 55 26
"112" 56 26
"113" 57 26
"114" 58 26
"115" 59 26
"116" 60 26
"117" 61 26
"118" 62 26
"119" 63 26
"120" 64 26
"121" 65 26
"122" 66 26
"123" 67 26
"124" 68 26
"125" 69 26
"126" 70 26
"127" 71 26
"128" 72 26
"129" 73 26
"130" 74 26
"131" 75 26
"132" 76 26
"133" 77 26
"134" 78 26
"135" 79 26
"136" 80 26
"137" 81 26
